Ni,Ti,Al,Ni3Ti,Laves,FCC,T_Ni3Ti
15.0,1.0,0.0,4.677395230905102,0.0,18.713854306145123,894.8367
16.0,1.0,0.0,4.67724999555073,0.0,20.384772820302906,894.8367
17.0,1.0,0.0,4.677282785806277,0.0,22.05762019624167,894.8367
18.0,1.0,0.0,4.6773155441133065,0.0,23.72883766744068,904.15
19.0,1.0,0.0,4.677339958380204,0.0,25.4001595840153,914.15
20.0,1.0,0.0,4.6773643487960666,0.0,27.071624972468328,917.15
15.0,2.0,0.0,9.35456714905882,0.0,12.577807582962059,894.8367
16.0,2.0,0.0,9.354649514841759,0.0,14.249372939882448,894.8367
17.0,2.0,0.0,9.354553618519521,0.0,15.920737530825482,894.8367
18.0,2.0,0.0,9.354635910788481,0.0,17.592257839311696,906.15
19.0,2.0,0.0,9.354701470884045,0.0,19.26407735536366,921.15
20.0,2.0,0.0,9.354589045361136,0.0,20.936046046135093,935.15
15.0,3.0,0.0,14.031975388705172,0.0,6.441706283062048,894.8367
16.0,3.0,0.0,14.031945572886443,0.0,8.113175539940894,894.8367
17.0,3.0,0.0,14.03191578601681,0.0,9.784628235172331,894.8367
18.0,3.0,0.0,14.031886028054139,0.0,11.45606439286498,909.15
19.0,3.0,0.0,14.032009585758304,0.0,13.127638936437295,924.15
20.0,3.0,0.0,14.031954803468155,0.0,14.799012662514146,939.15
15.0,4.0,0.0,18.709366852119945,0.0,0.30545211171576797,894.8367
16.0,4.0,0.0,18.709241220429202,0.0,1.9769908528623708,894.8367
17.0,4.0,0.0,18.709115710472634,0.0,3.6485010360184,895.15
18.0,4.0,0.0,18.708956890775074,0.0,5.319991065445611,911.15
19.0,4.0,0.0,18.708798225387884,0.0,6.991464501506527,927.15
20.0,4.0,0.0,18.708639714086285,0.0,8.662921368372759,942.15
15.0,5.0,0.0,18.78354203935599,3.290839281425104,0.0,894.8367
16.0,5.0,0.0,20.141466840573898,2.3189023778468947,0.0,894.8367
17.0,5.0,0.0,21.501621530631795,1.3470433703482843,0.0,897.15
18.0,5.0,0.0,22.86049762570857,0.3751613139953427,0.0,914.15
19.0,5.0,0.0,23.38612146757215,0.0,0.8551892429566126,930.15
20.0,5.0,0.0,23.387305873201786,0.0,2.526665891798618,945.15
15.0,6.0,0.0,18.461063351503533,6.864815173909608,0.0,894.8367
16.0,6.0,0.0,19.821401011438805,5.892941104686429,0.0,894.8367
17.0,6.0,0.0,21.180459017569664,4.921120368792545,0.0,900.15
18.0,6.0,0.0,22.539958584708614,3.9491542136921467,0.0,917.15
19.0,6.0,0.0,23.898142589622516,2.977232610857742,0.0,934.15
20.0,6.0,0.0,25.258595212294356,2.005355495652018,0.0,949.15
15.0,7.0,0.0,18.14097699061568,10.43875014837222,0.0,894.8367
16.0,7.0,0.0,19.500199531908926,9.466980165449701,0.0,894.8367
17.0,7.0,0.0,20.8598723253637,8.495052742597082,0.0,903.15
18.0,7.0,0.0,22.21827134952832,7.523179949680248,0.0,920.15
19.0,7.0,0.0,23.577116106751294,6.551332955190017,0.0,937.15
20.0,7.0,0.0,24.936398637908205,5.579337541130077,0.0,953.15
15.0,8.0,0.0,17.819222718216437,14.01279737135075,0.0,894.8367
16.0,8.0,0.0,19.1778256728264,13.040957468836709,0.0,894.8367
17.0,8.0,0.0,20.538145483929604,12.068950002609562,0.0,906.15
18.0,8.0,0.0,21.897153711795106,11.09716018758196,0.0,924.15
19.0,8.0,0.0,23.25665021530606,10.125228116543957,0.0,941.15
20.0,8.0,0.0,24.616590050570217,9.153317255334672,0.0,957.15
15.0,9.0,0.0,17.497929436644373,17.586706532153727,0.0,894.8367
16.0,9.0,0.0,18.857851907427715,16.614784729035613,0.0,894.8367
17.0,9.0,0.0,20.217006080424564,15.642897188006438,0.0,909.15
18.0,9.0,0.0,21.576654330285873,14.671043859617514,0.0,927.15
19.0,9.0,0.0,22.934995002386245,13.699224694515234,0.0,945.15
20.0,9.0,0.0,24.293786327724906,12.72723672581107,0.0,961.15
15.0,10.0,0.0,17.17653140159484,21.160922781067228,0.0,894.8367
16.0,10.0,0.0,18.536717550356787,20.18968476199079,0.0,894.8367
17.0,10.0,0.0,19.89473018968428,19.217608768270996,0.0,912.15
18.0,10.0,0.0,21.254976700199606,18.244591955703306,0.0,931.15
19.0,10.0,0.0,22.61395368974002,17.27326516917171,0.0,949.15
20.0,10.0,0.0,23.973386944096355,16.301217962009684,0.0,966.15
15.0,11.0,0.0,16.8552771406278,24.73509747942061,0.0,894.8367
16.0,11.0,0.0,18.214455032046295,23.762390570319088,0.0,894.8367
17.0,11.0,0.0,19.573053501247053,22.79061607551415,0.0,915.15
18.0,11.0,0.0,20.93396581147138,21.819772654961962,0.0,935.15
19.0,11.0,0.0,22.291727649548093,20.84801439738072,0.0,954.15
20.0,11.0,0.0,23.651797001986637,19.875383781831317,0.0,971.15
15.0,12.0,0.0,16.534110897136,28.308182190742492,0.0,894.8367
16.0,12.0,0.0,17.893353633117645,27.337647037500222,0.0,897.15
17.0,12.0,0.0,19.252020855299154,26.36441700453266,0.0,919.15
18.0,12.0,0.0,20.611743062119515,25.393928200225258,0.0,940.15
19.0,12.0,0.0,21.97193600990366,24.4207028485692,0.0,959.15
20.0,12.0,0.0,23.33082483700804,23.4484106022562,0.0,977.15
15.0,13.0,0.0,16.21273573682117,31.882025788241446,0.0,894.8367
16.0,13.0,0.0,17.572037529228936,30.91005475433169,0.0,901.15
17.0,13.0,0.0,18.93167503497633,29.93901144465393,0.0,923.15
18.0,13.0,0.0,20.29015998882744,28.967028263302325,0.0,944.15
19.0,13.0,0.0,21.64915747396282,27.995975453894474,0.0,964.15
20.0,13.0,0.0,23.00866675485025,27.024039689859553,0.0,982.15
15.0,14.0,0.0,15.891489086870223,35.456528502216834,0.0,894.8367
16.0,14.0,0.0,17.25081011488902,34.48489058448289,0.0,904.15
17.0,14.0,0.0,18.610137699387845,33.51242493420383,0.0,928.15
18.0,14.0,0.0,19.969225011672336,32.54082591057813,0.0,950.15
19.0,14.0,0.0,21.32883005574622,31.56833905322221,0.0,970.15
20.0,14.0,0.0,22.68713711924178,30.596780604494235,0.0,989.15
15.0,15.0,0.0,15.570166247236958,39.0297415450442,0.0,894.8367
16.0,15.0,0.0,16.92955837835278,38.058584173311814,0.0,908.15
17.0,15.0,0.0,18.289263841655682,37.08646164825481,0.0,933.15
18.0,15.0,0.0,19.648982339935763,36.11533177446797,0.0,955.15
19.0,15.0,0.0,21.007333469138317,35.14317725460524,0.0,976.15
20.0,15.0,0.0,22.366244296180486,34.17201447088553,0.0,996.15
15.0,1.0,1.0,4.677317466916469,0.0,18.157472747593314,893.5545
