Ni,Ti,Al,Ni3Ti,Laves,FCC
15.0,1.0,0.0,2.6269,0.0,10.51
16.0,1.0,0.0,2.6281,0.0,11.454
17.0,1.0,0.0,2.6294,0.0,12.4
18.0,1.0,0.0,2.6307,0.0,13.346
19.0,1.0,0.0,2.632,0.0,14.293
20.0,1.0,0.0,2.6333,0.0,15.241
15.0,2.0,0.0,5.2449,0.0,7.0521
16.0,2.0,0.0,5.2475,0.0,7.9932
17.0,2.0,0.0,5.25,0.0,8.9351
18.0,2.0,0.0,5.2526,0.0,9.878
19.0,2.0,0.0,5.2552,0.0,10.822
20.0,2.0,0.0,5.2577,0.0,11.767
15.0,3.0,0.0,7.8543,0.0,3.6057
16.0,3.0,0.0,7.8581,0.0,4.5435
17.0,3.0,0.0,7.8619,0.0,5.4822
18.0,3.0,0.0,7.8657,0.0,6.4218
19.0,3.0,0.0,7.8696,0.0,7.3624
20.0,3.0,0.0,7.8734,0.0,8.3038
15.0,4.0,0.0,10.455,0.0,0.17069
16.0,4.0,0.0,10.46,0.0,1.1053
17.0,4.0,0.0,10.465,0.0,2.0408
18.0,4.0,0.0,10.47,0.0,2.9772
19.0,4.0,0.0,10.475,0.0,3.9145
20.0,4.0,0.0,10.48,0.0,4.8527
15.0,5.0,0.0,10.479,1.8359,0.0
16.0,5.0,0.0,11.242,1.2943,0.0
17.0,5.0,0.0,12.007,0.75222,0.0
18.0,5.0,0.0,12.772,0.2096,0.0
19.0,5.0,0.0,13.072,0.0,0.47802
20.0,5.0,0.0,13.079,0.0,1.413
15.0,6.0,0.0,10.282,3.8234,0.0
16.0,6.0,0.0,11.045,3.2837,0.0
17.0,6.0,0.0,11.808,2.7435,0.0
18.0,6.0,0.0,12.572,2.2027,0.0
19.0,6.0,0.0,13.336,1.6614,0.0
20.0,6.0,0.0,14.102,1.1196,0.0
15.0,7.0,0.0,10.087,5.8043,0.0
16.0,7.0,0.0,10.848,5.2665,0.0
17.0,7.0,0.0,11.61,4.7281,0.0
18.0,7.0,0.0,12.372,4.1892,0.0
19.0,7.0,0.0,13.135,3.6498,0.0
20.0,7.0,0.0,13.899,3.1098,0.0
15.0,8.0,0.0,9.8917,7.7787,0.0
16.0,8.0,0.0,10.651,7.2427,0.0
17.0,8.0,0.0,11.412,6.7061,0.0
18.0,8.0,0.0,12.173,6.1691,0.0
19.0,8.0,0.0,12.935,5.6315,0.0
20.0,8.0,0.0,13.698,5.0934,0.0
15.0,9.0,0.0,9.6973,9.7465,0.0
16.0,9.0,0.0,10.456,9.2123,0.0
17.0,9.0,0.0,11.215,8.6776,0.0
18.0,9.0,0.0,11.975,8.1424,0.0
19.0,9.0,0.0,12.735,7.6067,0.0
20.0,9.0,0.0,13.496,7.0704,0.0
15.0,10.0,0.0,9.5035,11.708,0.0
16.0,10.0,0.0,10.261,11.176,0.0
17.0,10.0,0.0,11.018,10.643,0.0
18.0,10.0,0.0,11.777,10.109,0.0
19.0,10.0,0.0,12.536,9.5754,0.0
20.0,10.0,0.0,13.296,9.0409,0.0
15.0,11.0,0.0,9.3104,13.663,0.0
16.0,11.0,0.0,10.066,13.132,0.0
17.0,11.0,0.0,10.822,12.601,0.0
18.0,11.0,0.0,11.58,12.07,0.0
19.0,11.0,0.0,12.337,11.538,0.0
20.0,11.0,0.0,13.096,11.005,0.0
15.0,12.0,0.0,9.118,15.611,0.0
16.0,12.0,0.0,9.8723,15.083,0.0
17.0,12.0,0.0,10.627,14.553,0.0
18.0,12.0,0.0,11.383,14.024,0.0
19.0,12.0,0.0,12.14,13.493,0.0
20.0,12.0,0.0,12.897,12.962,0.0
15.0,13.0,0.0,8.9261,17.553,0.0
16.0,13.0,0.0,9.6791,17.026,0.0
17.0,13.0,0.0,10.433,16.499,0.0
18.0,13.0,0.0,11.187,15.971,0.0
19.0,13.0,0.0,11.942,15.443,0.0
20.0,13.0,0.0,12.698,14.914,0.0
15.0,14.0,0.0,8.7349,19.489,0.0
16.0,14.0,0.0,9.4866,18.964,0.0
17.0,14.0,0.0,10.239,18.438,0.0
18.0,14.0,0.0,10.992,17.912,0.0
19.0,14.0,0.0,11.746,17.385,0.0
20.0,14.0,0.0,12.5,16.858,0.0
15.0,15.0,0.0,8.5443,21.418,0.0
16.0,15.0,0.0,9.2947,20.895,0.0
17.0,15.0,0.0,10.046,20.371,0.0
18.0,15.0,0.0,10.798,19.847,0.0
19.0,15.0,0.0,11.55,19.322,0.0
20.0,15.0,0.0,12.303,18.797,0.0
15.0,1.0,1.0,2.5989,0.0,10.089
16.0,1.0,1.0,2.6002,0.0,11.005
17.0,1.0,1.0,2.6014,0.0,11.923
18.0,1.0,1.0,2.6027,0.0,12.844
19.0,1.0,1.0,2.6039,0.0,13.766
