Ni,Ti,Al,T_Ni3Ti
15.0,1.0,0.0,894.8367
16.0,1.0,0.0,894.8367
17.0,1.0,0.0,894.8367
18.0,1.0,0.0,904.15
19.0,1.0,0.0,914.15
20.0,1.0,0.0,917.15
15.0,2.0,0.0,894.8367
16.0,2.0,0.0,894.8367
17.0,2.0,0.0,894.8367
18.0,2.0,0.0,906.15
19.0,2.0,0.0,921.15
20.0,2.0,0.0,935.15
15.0,3.0,0.0,894.8367
16.0,3.0,0.0,894.8367
17.0,3.0,0.0,894.8367
18.0,3.0,0.0,909.15
19.0,3.0,0.0,924.15
20.0,3.0,0.0,939.15
15.0,4.0,0.0,894.8367
16.0,4.0,0.0,894.8367
17.0,4.0,0.0,895.15
18.0,4.0,0.0,911.15
19.0,4.0,0.0,927.15
20.0,4.0,0.0,942.15
15.0,5.0,0.0,894.8367
16.0,5.0,0.0,894.8367
17.0,5.0,0.0,897.15
18.0,5.0,0.0,914.15
19.0,5.0,0.0,930.15
20.0,5.0,0.0,945.15
15.0,6.0,0.0,894.8367
16.0,6.0,0.0,894.8367
17.0,6.0,0.0,900.15
18.0,6.0,0.0,917.15
19.0,6.0,0.0,934.15
20.0,6.0,0.0,949.15
15.0,7.0,0.0,894.8367
16.0,7.0,0.0,894.8367
17.0,7.0,0.0,903.15
18.0,7.0,0.0,920.15
19.0,7.0,0.0,937.15
20.0,7.0,0.0,953.15
15.0,8.0,0.0,894.8367
16.0,8.0,0.0,894.8367
17.0,8.0,0.0,906.15
18.0,8.0,0.0,924.15
19.0,8.0,0.0,941.15
20.0,8.0,0.0,957.15
15.0,9.0,0.0,894.8367
16.0,9.0,0.0,894.8367
17.0,9.0,0.0,909.15
18.0,9.0,0.0,927.15
19.0,9.0,0.0,945.15
20.0,9.0,0.0,961.15
15.0,10.0,0.0,894.8367
16.0,10.0,0.0,894.8367
17.0,10.0,0.0,912.15
18.0,10.0,0.0,931.15
19.0,10.0,0.0,949.15
20.0,10.0,0.0,966.15
15.0,11.0,0.0,894.8367
16.0,11.0,0.0,894.8367
17.0,11.0,0.0,915.15
18.0,11.0,0.0,935.15
19.0,11.0,0.0,954.15
20.0,11.0,0.0,971.15
15.0,12.0,0.0,894.8367
16.0,12.0,0.0,897.15
17.0,12.0,0.0,919.15
18.0,12.0,0.0,940.15
19.0,12.0,0.0,959.15
20.0,12.0,0.0,977.15
15.0,13.0,0.0,894.8367
16.0,13.0,0.0,901.15
17.0,13.0,0.0,923.15
18.0,13.0,0.0,944.15
19.0,13.0,0.0,964.15
20.0,13.0,0.0,982.15
15.0,14.0,0.0,894.8367
16.0,14.0,0.0,904.15
17.0,14.0,0.0,928.15
18.0,14.0,0.0,950.15
19.0,14.0,0.0,970.15
20.0,14.0,0.0,989.15
15.0,15.0,0.0,894.8367
16.0,15.0,0.0,908.15
17.0,15.0,0.0,933.15
18.0,15.0,0.0,955.15
19.0,15.0,0.0,976.15
20.0,15.0,0.0,996.15
15.0,1.0,1.0,893.5545
16.0,1.0,1.0,893.606
17.0,1.0,1.0,893.6545
18.0,1.0,1.0,893.7002
19.0,1.0,1.0,893.15
20.0,1.0,1.0,891.15
