Ni,Ti,Al,FCC
15.0,1.0,0.0,18.713854306145123
16.0,1.0,0.0,20.384772820302906
17.0,1.0,0.0,22.05762019624167
18.0,1.0,0.0,23.72883766744068
19.0,1.0,0.0,25.4001595840153
20.0,1.0,0.0,27.071624972468328
15.0,2.0,0.0,12.577807582962059
16.0,2.0,0.0,14.249372939882448
17.0,2.0,0.0,15.920737530825482
18.0,2.0,0.0,17.592257839311696
19.0,2.0,0.0,19.26407735536366
20.0,2.0,0.0,20.936046046135093
15.0,3.0,0.0,6.441706283062048
16.0,3.0,0.0,8.113175539940894
17.0,3.0,0.0,9.784628235172331
18.0,3.0,0.0,11.45606439286498
19.0,3.0,0.0,13.127638936437295
20.0,3.0,0.0,14.799012662514146
15.0,4.0,0.0,0.30545211171576797
16.0,4.0,0.0,1.9769908528623708
17.0,4.0,0.0,3.6485010360184
18.0,4.0,0.0,5.319991065445611
19.0,4.0,0.0,6.991464501506527
20.0,4.0,0.0,8.662921368372759
15.0,5.0,0.0,0.0
16.0,5.0,0.0,0.0
17.0,5.0,0.0,0.0
18.0,5.0,0.0,0.0
19.0,5.0,0.0,0.8551892429566126
20.0,5.0,0.0,2.526665891798618
15.0,6.0,0.0,0.0
16.0,6.0,0.0,0.0
17.0,6.0,0.0,0.0
18.0,6.0,0.0,0.0
19.0,6.0,0.0,0.0
20.0,6.0,0.0,0.0
15.0,7.0,0.0,0.0
16.0,7.0,0.0,0.0
17.0,7.0,0.0,0.0
18.0,7.0,0.0,0.0
19.0,7.0,0.0,0.0
20.0,7.0,0.0,0.0
15.0,8.0,0.0,0.0
16.0,8.0,0.0,0.0
17.0,8.0,0.0,0.0
18.0,8.0,0.0,0.0
19.0,8.0,0.0,0.0
20.0,8.0,0.0,0.0
15.0,9.0,0.0,0.0
16.0,9.0,0.0,0.0
17.0,9.0,0.0,0.0
18.0,9.0,0.0,0.0
19.0,9.0,0.0,0.0
20.0,9.0,0.0,0.0
15.0,10.0,0.0,0.0
16.0,10.0,0.0,0.0
17.0,10.0,0.0,0.0
18.0,10.0,0.0,0.0
19.0,10.0,0.0,0.0
20.0,10.0,0.0,0.0
15.0,11.0,0.0,0.0
16.0,11.0,0.0,0.0
17.0,11.0,0.0,0.0
18.0,11.0,0.0,0.0
19.0,11.0,0.0,0.0
20.0,11.0,0.0,0.0
15.0,12.0,0.0,0.0
16.0,12.0,0.0,0.0
17.0,12.0,0.0,0.0
18.0,12.0,0.0,0.0
19.0,12.0,0.0,0.0
20.0,12.0,0.0,0.0
15.0,13.0,0.0,0.0
16.0,13.0,0.0,0.0
17.0,13.0,0.0,0.0
18.0,13.0,0.0,0.0
19.0,13.0,0.0,0.0
20.0,13.0,0.0,0.0
15.0,14.0,0.0,0.0
16.0,14.0,0.0,0.0
17.0,14.0,0.0,0.0
18.0,14.0,0.0,0.0
19.0,14.0,0.0,0.0
20.0,14.0,0.0,0.0
15.0,15.0,0.0,0.0
16.0,15.0,0.0,0.0
17.0,15.0,0.0,0.0
18.0,15.0,0.0,0.0
19.0,15.0,0.0,0.0
20.0,15.0,0.0,0.0
15.0,1.0,1.0,18.157472747593314
16.0,1.0,1.0,19.796476748808704
17.0,1.0,1.0,21.437497190632445
18.0,1.0,1.0,23.08232828879148
19.0,1.0,1.0,24.727327594878503
20.0,1.0,1.0,26.37432874730018
15.0,2.0,1.0,12.144865878280935
16.0,2.0,1.0,13.775637987916834
17.0,2.0,1.0,15.408956245328723
18.0,2.0,1.0,17.044689499245756
19.0,2.0,1.0,18.683315640799584
20.0,2.0,1.0,20.32341949940474
