Ni,Ti,Al,Laves
15.0,1.0,0.0,0.0
16.0,1.0,0.0,0.0
17.0,1.0,0.0,0.0
18.0,1.0,0.0,0.0
19.0,1.0,0.0,0.0
20.0,1.0,0.0,0.0
15.0,2.0,0.0,0.0
16.0,2.0,0.0,0.0
17.0,2.0,0.0,0.0
18.0,2.0,0.0,0.0
19.0,2.0,0.0,0.0
20.0,2.0,0.0,0.0
15.0,3.0,0.0,0.0
16.0,3.0,0.0,0.0
17.0,3.0,0.0,0.0
18.0,3.0,0.0,0.0
19.0,3.0,0.0,0.0
20.0,3.0,0.0,0.0
15.0,4.0,0.0,0.0
16.0,4.0,0.0,0.0
17.0,4.0,0.0,0.0
18.0,4.0,0.0,0.0
19.0,4.0,0.0,0.0
20.0,4.0,0.0,0.0
15.0,5.0,0.0,3.290839281425104
16.0,5.0,0.0,2.3189023778468947
17.0,5.0,0.0,1.3470433703482843
18.0,5.0,0.0,0.3751613139953427
19.0,5.0,0.0,0.0
20.0,5.0,0.0,0.0
15.0,6.0,0.0,6.864815173909608
16.0,6.0,0.0,5.892941104686429
17.0,6.0,0.0,4.921120368792545
18.0,6.0,0.0,3.9491542136921467
19.0,6.0,0.0,2.977232610857742
20.0,6.0,0.0,2.005355495652018
15.0,7.0,0.0,10.43875014837222
16.0,7.0,0.0,9.466980165449701
17.0,7.0,0.0,8.495052742597082
18.0,7.0,0.0,7.523179949680248
19.0,7.0,0.0,6.551332955190017
20.0,7.0,0.0,5.579337541130077
15.0,8.0,0.0,14.01279737135075
16.0,8.0,0.0,13.040957468836709
17.0,8.0,0.0,12.068950002609562
18.0,8.0,0.0,11.09716018758196
19.0,8.0,0.0,10.125228116543957
20.0,8.0,0.0,9.153317255334672
15.0,9.0,0.0,17.586706532153727
16.0,9.0,0.0,16.614784729035613
17.0,9.0,0.0,15.642897188006438
18.0,9.0,0.0,14.671043859617514
19.0,9.0,0.0,13.699224694515234
20.0,9.0,0.0,12.72723672581107
15.0,10.0,0.0,21.160922781067228
16.0,10.0,0.0,20.18968476199079
17.0,10.0,0.0,19.217608768270996
18.0,10.0,0.0,18.244591955703306
19.0,10.0,0.0,17.27326516917171
20.0,10.0,0.0,16.301217962009684
15.0,11.0,0.0,24.73509747942061
16.0,11.0,0.0,23.762390570319088
17.0,11.0,0.0,22.79061607551415
18.0,11.0,0.0,21.819772654961962
19.0,11.0,0.0,20.84801439738072
20.0,11.0,0.0,19.875383781831317
15.0,12.0,0.0,28.308182190742492
16.0,12.0,0.0,27.337647037500222
17.0,12.0,0.0,26.36441700453266
18.0,12.0,0.0,25.393928200225258
19.0,12.0,0.0,24.4207028485692
20.0,12.0,0.0,23.4484106022562
15.0,13.0,0.0,31.882025788241446
16.0,13.0,0.0,30.91005475433169
17.0,13.0,0.0,29.93901144465393
18.0,13.0,0.0,28.967028263302325
19.0,13.0,0.0,27.995975453894474
20.0,13.0,0.0,27.024039689859553
15.0,14.0,0.0,35.456528502216834
16.0,14.0,0.0,34.48489058448289
17.0,14.0,0.0,33.51242493420383
18.0,14.0,0.0,32.54082591057813
19.0,14.0,0.0,31.56833905322221
20.0,14.0,0.0,30.596780604494235
15.0,15.0,0.0,39.0297415450442
16.0,15.0,0.0,38.058584173311814
17.0,15.0,0.0,37.08646164825481
18.0,15.0,0.0,36.11533177446797
19.0,15.0,0.0,35.14317725460524
20.0,15.0,0.0,34.17201447088553
15.0,1.0,1.0,0.0
16.0,1.0,1.0,0.0
17.0,1.0,1.0,0.0
18.0,1.0,1.0,0.0
19.0,1.0,1.0,0.0
20.0,1.0,1.0,0.0
15.0,2.0,1.0,0.0
16.0,2.0,1.0,0.0
17.0,2.0,1.0,0.0
18.0,2.0,1.0,0.0
19.0,2.0,1.0,0.0
20.0,2.0,1.0,0.0
15.0,3.0,1.0,0.0
16.0,3.0,1.0,0.0
17.0,3.0,1.0,0.0
18.0,3.0,1.0,0.0
19.0,3.0,1.0,0.0
20.0,3.0,1.0,0.0
15.0,4.0,1.0,0.0
16.0,4.0,1.0,0.0
17.0,4.0,1.0,0.0
18.0,4.0,1.0,0.0
19.0,4.0,1.0,0.0
20.0,4.0,1.0,0.0
15.0,5.0,1.0,3.292130373580345
16.0,5.0,1.0,2.319972186409004
17.0,5.0,1.0,1.347844028726978
18.0,5.0,1.0,0.3757030411902087
19.0,5.0,1.0,0.0
20.0,5.0,1.0,0.0
15.0,6.0,1.0,6.867098427261525
16.0,6.0,1.0,5.894899889542045
17.0,6.0,1.0,4.922734425421135
18.0,6.0,1.0,3.950763588394326
19.0,6.0,1.0,2.978449033113399
20.0,6.0,1.0,2.006346884577577
15.0,7.0,1.0,10.442332789263032
16.0,7.0,1.0,9.470129133995595
17.0,7.0,1.0,8.497927179820557
18.0,7.0,1.0,7.525745877211132
19.0,7.0,1.0,6.553573307500009
20.0,7.0,1.0,5.581424867178009
15.0,8.0,1.0,14.017619653614869
16.0,8.0,1.0,13.045392923107718
17.0,8.0,1.0,12.073183374954755
18.0,8.0,1.0,11.101152601534379
19.0,8.0,1.0,10.128979034092769
20.0,8.0,1.0,9.156805942769962
15.0,9.0,1.0,17.593220709877894
16.0,9.0,1.0,16.62100806179678
17.0,9.0,1.0,15.648809068351499
18.0,9.0,1.0,14.676596984485396
19.0,9.0,1.0,13.704427024085353
20.0,9.0,1.0,12.732247495374608
15.0,10.0,1.0,21.169684427404786
16.0,10.0,1.0,20.197502104096646
17.0,10.0,1.0,19.22438239276499
18.0,10.0,1.0,18.25222247757459
19.0,10.0,1.0,17.28022343639191
20.0,10.0,1.0,16.30805562844398
15.0,11.0,1.0,24.74432389908341
16.0,11.0,1.0,23.772558786794892
17.0,11.0,1.0,22.799844272347922
18.0,11.0,1.0,21.828093713918243
19.0,11.0,1.0,20.85722424711666
20.0,11.0,1.0,19.883589559199034
15.0,12.0,1.0,28.32137012759735
16.0,12.0,1.0,27.350039105500596
17.0,12.0,1.0,26.377746613989284
18.0,12.0,1.0,25.404545845479316
19.0,12.0,1.0,24.43226712709608
20.0,12.0,1.0,23.46086625861981
15.0,13.0,1.0,31.898901461964158
16.0,13.0,1.0,30.926132829914522
17.0,13.0,1.0,29.9542846454722
18.0,13.0,1.0,28.981522721315862
19.0,13.0,1.0,28.009680368308338
20.0,13.0,1.0,27.036875624878686
15.0,14.0,1.0,35.47686107822302
16.0,14.0,1.0,34.50455632142509
17.0,14.0,1.0,33.53133276762066
18.0,14.0,1.0,32.55902758016754
19.0,14.0,1.0,31.587581496657556
20.0,14.0,1.0,30.615276825049797
15.0,15.0,1.0,39.05519176800748
16.0,15.0,1.0,38.08337075839118
17.0,15.0,1.0,37.11062542773252
18.0,15.0,1.0,36.138729471645995
19.0,15.0,1.0,35.16597834497691
20.0,15.0,1.0,34.19407937038657
15.0,1.0,2.0,0.0
16.0,1.0,2.0,0.0
17.0,1.0,2.0,0.0
18.0,1.0,2.0,0.0
19.0,1.0,2.0,0.0
20.0,1.0,2.0,0.0
15.0,2.0,2.0,0.0
16.0,2.0,2.0,0.0
17.0,2.0,2.0,0.0
18.0,2.0,2.0,0.0
19.0,2.0,2.0,0.0
20.0,2.0,2.0,0.0
15.0,3.0,2.0,0.0
16.0,3.0,2.0,0.0
17.0,3.0,2.0,0.0
