Ni,Ti,Al,Ni3Ti
15.0,1.0,0.0,4.677395230905102
16.0,1.0,0.0,4.67724999555073
17.0,1.0,0.0,4.677282785806277
18.0,1.0,0.0,4.6773155441133065
19.0,1.0,0.0,4.677339958380204
20.0,1.0,0.0,4.6773643487960666
15.0,2.0,0.0,9.35456714905882
16.0,2.0,0.0,9.354649514841759
17.0,2.0,0.0,9.354553618519521
18.0,2.0,0.0,9.354635910788481
19.0,2.0,0.0,9.354701470884045
20.0,2.0,0.0,9.354589045361136
15.0,3.0,0.0,14.031975388705172
16.0,3.0,0.0,14.031945572886443
17.0,3.0,0.0,14.03191578601681
18.0,3.0,0.0,14.031886028054139
19.0,3.0,0.0,14.032009585758304
20.0,3.0,0.0,14.031954803468155
15.0,4.0,0.0,18.709366852119945
16.0,4.0,0.0,18.709241220429202
17.0,4.0,0.0,18.709115710472634
18.0,4.0,0.0,18.708956890775074
19.0,4.0,0.0,18.708798225387884
20.0,4.0,0.0,18.708639714086285
15.0,5.0,0.0,18.78354203935599
16.0,5.0,0.0,20.141466840573898
17.0,5.0,0.0,21.501621530631795
18.0,5.0,0.0,22.86049762570857
19.0,5.0,0.0,23.38612146757215
20.0,5.0,0.0,23.387305873201786
15.0,6.0,0.0,18.461063351503533
16.0,6.0,0.0,19.821401011438805
17.0,6.0,0.0,21.180459017569664
18.0,6.0,0.0,22.539958584708614
19.0,6.0,0.0,23.898142589622516
20.0,6.0,0.0,25.258595212294356
15.0,7.0,0.0,18.14097699061568
16.0,7.0,0.0,19.500199531908926
17.0,7.0,0.0,20.8598723253637
18.0,7.0,0.0,22.21827134952832
19.0,7.0,0.0,23.577116106751294
20.0,7.0,0.0,24.936398637908205
15.0,8.0,0.0,17.819222718216437
16.0,8.0,0.0,19.1778256728264
17.0,8.0,0.0,20.538145483929604
18.0,8.0,0.0,21.897153711795106
19.0,8.0,0.0,23.25665021530606
20.0,8.0,0.0,24.616590050570217
15.0,9.0,0.0,17.497929436644373
16.0,9.0,0.0,18.857851907427715
17.0,9.0,0.0,20.217006080424564
18.0,9.0,0.0,21.576654330285873
19.0,9.0,0.0,22.934995002386245
20.0,9.0,0.0,24.293786327724906
15.0,10.0,0.0,17.17653140159484
16.0,10.0,0.0,18.536717550356787
17.0,10.0,0.0,19.89473018968428
18.0,10.0,0.0,21.254976700199606
19.0,10.0,0.0,22.61395368974002
20.0,10.0,0.0,23.973386944096355
15.0,11.0,0.0,16.8552771406278
16.0,11.0,0.0,18.214455032046295
17.0,11.0,0.0,19.573053501247053
18.0,11.0,0.0,20.93396581147138
19.0,11.0,0.0,22.291727649548093
20.0,11.0,0.0,23.651797001986637
15.0,12.0,0.0,16.534110897136
16.0,12.0,0.0,17.893353633117645
17.0,12.0,0.0,19.252020855299154
18.0,12.0,0.0,20.611743062119515
19.0,12.0,0.0,21.97193600990366
20.0,12.0,0.0,23.33082483700804
15.0,13.0,0.0,16.21273573682117
16.0,13.0,0.0,17.572037529228936
17.0,13.0,0.0,18.93167503497633
18.0,13.0,0.0,20.29015998882744
19.0,13.0,0.0,21.64915747396282
20.0,13.0,0.0,23.00866675485025
15.0,14.0,0.0,15.891489086870223
16.0,14.0,0.0,17.25081011488902
17.0,14.0,0.0,18.610137699387845
18.0,14.0,0.0,19.969225011672336
19.0,14.0,0.0,21.32883005574622
20.0,14.0,0.0,22.68713711924178
15.0,15.0,0.0,15.570166247236958
16.0,15.0,0.0,16.92955837835278
17.0,15.0,0.0,18.289263841655682
18.0,15.0,0.0,19.648982339935763
19.0,15.0,0.0,21.007333469138317
20.0,15.0,0.0,22.366244296180486
15.0,1.0,1.0,4.677317466916469
16.0,1.0,1.0,4.677401076079272
17.0,1.0,1.0,4.677304805142266
18.0,1.0,1.0,4.677388339865899
19.0,1.0,1.0,4.677283766112461
20.0,1.0,1.0,4.67735883270704
15.0,2.0,1.0,9.35462936256129
16.0,2.0,1.0,9.354633531956605
17.0,2.0,1.0,9.354620849879785
18.0,2.0,1.0,9.354625019351168
19.0,2.0,1.0,9.354612353586788
20.0,2.0,1.0,9.35459970003129
15.0,3.0,1.0,14.032014878883361
16.0,3.0,1.0,14.031956193339843
17.0,3.0,1.0,14.031872251225789
18.0,3.0,1.0,14.031993999322037
19.0,3.0,1.0,14.031910119649432
20.0,3.0,1.0,14.032006456052368
15.0,4.0,1.0,18.708864102095703
16.0,4.0,1.0,18.708940302770635
17.0,4.0,1.0,18.709016430469998
18.0,4.0,1.0,18.709058695404824
19.0,4.0,1.0,18.7091009197498
